t,m,b,sector,coherence,fragmentation,matched_decoder,wrong_decoder,lag_decoder,matched_error,wrong_error,lag_error
685.0,0.9998451125009972,1.0004313210875442,1.0,1.0,0.0,1.0001509623806404,-0.29984903761935966,1.0001509623806404,0.0003058498796432163,1.2996941501203567,0.0003058498796432163
686.0,0.9998898536892376,1.00061702698861,1.0,1.0,0.0,1.0002159594460136,-0.29978404055398655,1.0002159594460136,0.0003261057567760517,1.2996738942432242,0.0003261057567760517
687.0,0.9998794763161627,1.000703744720061,1.0,1.0,0.0,1.0002463106520214,-0.29975368934797864,1.0002463106520214,0.0003668343358587123,1.2996331656641413,0.0003668343358587123
688.0,1.0000128039249052,1.0005960206795403,1.0,1.0,0.0,1.000208607237839,-0.2997913927621608,1.000208607237839,0.0001958033129338954,1.2998041966870661,0.0001958033129338954
689.0,0.9999686668971417,1.0007394590548646,1.0,1.0,0.0,1.0002588106692025,-0.2997411893307974,1.0002588106692025,0.00029014377206082465,1.2997098562279392,0.00029014377206082465
690.0,0.999918450999241,1.0003094811725073,1.0,1.0,0.0,1.0001083184103776,-0.29989168158962254,1.0001083184103776,0.00018986741113657946,1.2998101325888636,0.00018986741113657946
691.0,0.9996957654622163,1.000151722656706,1.0,1.0,0.0,1.0000531029298472,-0.299946897070153,1.0000531029298472,0.0003573374676308916,1.2996426625323694,0.0003573374676308916
692.0,0.9997144839043672,0.9999735171149624,1.0,1.0,0.0,0.9999907309902368,-0.3000092690097632,0.9999907309902368,0.00027624708586959645,1.2997237529141303,0.00027624708586959645
693.0,0.999646453866418,0.9998190461426132,1.0,1.0,0.0,0.9999366661499146,-0.30006333385008543,0.9999366661499146,0.00029021228349657147,1.2997097877165036,0.00029021228349657147
694.0,0.9996502979755508,1.0000280460633402,1.0,1.0,0.0,1.000009816122169,-0.29999018387783094,1.000009816122169,0.0003595181466182762,1.2996404818533818,0.0003595181466182762
695.0,0.9997312153215825,1.0000524623340166,1.0,1.0,0.0,1.0000183618169058,-0.2999816381830942,1.0000183618169058,0.0002871464953233538,1.2997128535046767,0.0002871464953233538
696.0,0.9998439332670768,1.0000212075050703,1.0,1.0,0.0,1.0000074226267746,-0.2999925773732255,1.0000074226267746,0.00016348935969778822,1.2998365106403023,0.00016348935969778822
697.0,0.9998796333699324,1.000145845850589,1.0,1.0,0.0,1.0000510460477061,-0.29994895395229393,1.0000510460477061,0.00017141267777376346,1.2998285873222262,0.00017141267777376346
698.0,1.000021271681764,1.0002897325815243,1.0,1.0,0.0,1.0001014064035334,-0.29989859359646653,1.0001014064035334,8.013472176937597e-05,1.2999198652782304,8.013472176937597e-05
699.0,1.000163368955691,1.0004272030641819,1.0,1.0,0.0,1.0001495210724636,-0.29985047892753647,1.0001495210724636,1.38478832274469e-05,1.3000138478832275,1.38478832274469e-05
700.0,1.000187321758221,1.0004108179011784,1.0,1.0,0.0,1.0001437862654123,-0.2998562137345876,1.0001437862654123,4.3535492808555176e-05,1.3000435354928084,4.3535492808555176e-05
701.0,1.0000898109658651,1.0000023887539469,1.0,1.0,0.0,1.0000008360638815,-0.2999991639361187,1.0000008360638815,8.897490198367386e-05,1.3000889749019837,8.897490198367386e-05
702.0,0.999918180097341,0.9997885067017669,1.0,1.0,0.0,0.9999259773456184,-0.30007402265438166,0.9999259773456184,7.797248277374713e-06,1.2999922027517226,7.797248277374713e-06
703.0,0.9999425145642906,0.9997626108695005,1.0,1.0,0.0,0.9999169138043251,-0.3000830861956749,0.9999169138043251,2.5600759965493936e-05,1.3000256007599655,2.5600759965493936e-05
704.0,0.9999094321281007,0.9998464076001372,1.0,1.0,0.0,0.9999462426600481,-0.300053757339952,0.9999462426600481,3.681053194737327e-05,1.2999631894680528,3.681053194737327e-05
705.0,0.9998691174319307,0.9996858322218445,1.0,1.0,0.0,0.9998900412776456,-0.30010995872235446,0.9998900412776456,2.092384571483752e-05,1.299979076154285,2.092384571483752e-05
706.0,0.9999635722683048,0.9997828640243727,1.0,1.0,0.0,0.9999240024085304,-0.30007599759146963,0.9999240024085304,3.956985977437988e-05,1.3000395698597744,3.956985977437988e-05
707.0,1.000096653543416,1.0001610057121098,1.0,1.0,0.0,1.0000563519992385,-0.2999436480007617,1.0000563519992385,4.030154417744569e-05,1.3000403015441777,4.030154417744569e-05
708.0,1.0002018744263457,1.0001412629490072,1.0,1.0,0.0,1.0000494420321524,-0.29995055796784753,1.0000494420321524,0.00015243239419326926,1.300152432394193,0.00015243239419326926
709.0,1.000143602259929,1.000311768572854,1.0,1.0,0.0,1.000109119000499,-0.2998908809995011,1.000109119000499,3.4483259430118096e-05,1.3000344832594302,3.4483259430118096e-05
710.0,1.0002385610131614,1.0001532394627084,1.0,1.0,0.0,1.000053633811948,-0.29994636618805215,1.000053633811948,0.00018492720121354722,1.3001849272012136,0.00018492720121354722
711.0,1.0003077656141217,1.0001501088770757,1.0,1.0,0.0,1.0000525381069765,-0.29994746189302346,1.0000525381069765,0.00025522750714523923,1.300255227507145,0.00025522750714523923
712.0,1.0003284308703828,0.9999781730343241,1.0,1.0,0.0,0.9999923605620135,-0.3000076394379866,0.9999923605620135,0.0003360703083693517,1.3003360703083695,0.0003360703083693517
